date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:42	6767/6767	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:42%20GMT	https://www.google.de/search?hl=de&q=Samsung+Galaxy+S8&spd=0&tbm=shop&source=pshome-c-0-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IDw	/home/benjamin/websites/google/www.google.de/search.28ddd1.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:43	6698/6698	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:43%20GMT	https://www.google.de/search?tbm=shop&q=sofas&source=pshome-c-1-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IEg	/home/benjamin/websites/google/www.google.de/search.290289.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:44	6698/6698	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:44%20GMT	https://www.google.de/search?tbm=shop&q=sofas&source=pshome-c-1-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IEw	/home/benjamin/websites/google/www.google.de/search.2ae440.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:46	6741/6741	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:46%20GMT	https://www.google.de/search?tbm=shop&q=nachttische&source=pshome-c-1-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IFQ	/home/benjamin/websites/google/www.google.de/search.2b282c.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:47	6721/6721	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:47%20GMT	https://www.google.de/search?tbm=shop&q=nachttische&source=pshome-c-1-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IFg	/home/benjamin/websites/google/www.google.de/search.2c1f1b.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:48	6734/6734	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:48%20GMT	https://www.google.de/search?tbm=shop&q=b%C3%BCcherregal&source=pshome-c-1-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IGA	/home/benjamin/websites/google/www.google.de/search.2d7746.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:49	6726/6726	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:49%20GMT	https://www.google.de/search?tbm=shop&q=b%C3%BCcherregal&source=pshome-c-1-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IGQ	/home/benjamin/websites/google/www.google.de/search.2ee414.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:50	6699/6699	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:50%20GMT	https://www.google.de/search?tbm=shop&q=sessel&source=pshome-c-1-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IGw	/home/benjamin/websites/google/www.google.de/search.2f46a3.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:52	6699/6699	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:52%20GMT	https://www.google.de/search?tbm=shop&q=sessel&source=pshome-c-1-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IHA	/home/benjamin/websites/google/www.google.de/search.306c89.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:53	6699/6699	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:53%20GMT	https://www.google.de/search?tbm=shop&q=fitbit&source=pshome-c-2-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IHw	/home/benjamin/websites/google/www.google.de/search.311cf7.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:54	6699/6699	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:54%20GMT	https://www.google.de/search?tbm=shop&q=fitbit&source=pshome-c-2-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IIA	/home/benjamin/websites/google/www.google.de/search.327fba.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:55	6738/6738	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:55%20GMT	https://www.google.de/search?tbm=shop&q=beats+kopfh%C3%B6rer&source=pshome-c-2-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IIg	/home/benjamin/websites/google/www.google.de/search.336db5.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:56	6738/6738	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:56%20GMT	https://www.google.de/search?tbm=shop&q=beats+kopfh%C3%B6rer&source=pshome-c-2-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IIw	/home/benjamin/websites/google/www.google.de/search.340567.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:58	6724/6724	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:58%20GMT	https://www.google.de/search?tbm=shop&q=kompaktkameras&source=pshome-c-2-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IJQ	/home/benjamin/websites/google/www.google.de/search.35dc24.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:59	6724/6724	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:59%20GMT	https://www.google.de/search?tbm=shop&q=kompaktkameras&source=pshome-c-2-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IJg	/home/benjamin/websites/google/www.google.de/search.36087f.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:00	6726/6726	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:02:00%20GMT	https://www.google.de/search?tbm=shop&q=jbl+lautsprecher&source=pshome-c-2-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IKA	/home/benjamin/websites/google/www.google.de/search.3747b3.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:01	6726/6726	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:02:01%20GMT	https://www.google.de/search?tbm=shop&q=jbl+lautsprecher&source=pshome-c-2-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IKQ	/home/benjamin/websites/google/www.google.de/search.38abc4.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:02	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Mar%202018%2010:02:01%20GMT	http://www.google.de/intl/de_de/about/locations	/home/benjamin/websites/google/www.google.de/intl/de_de/about/locations.39.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:02	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Mar%202018%2010:02:02%20GMT	http://www.google.de/intl/de_de/privacy	/home/benjamin/websites/google/www.google.de/intl/de_de/privacy.3a.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:02	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Mar%202018%2010:02:02%20GMT	http://www.google.de/intl/de_de/services	/home/benjamin/websites/google/www.google.de/intl/de_de/services.3b.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:02	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Mar%202018%2010:02:02%20GMT	http://www.google.de/xjs/_/js/k	/home/benjamin/websites/google/www.google.de/xjs/_/js/k.3c.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:03	212744/212744	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202018%2015:00:00%20GMT	http://www.google.de/intl/de_de/about/locations/	/home/benjamin/websites/google/www.google.de/intl/de_de/about/locations/index.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:03	97/97	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	http://www.google.de/intl/de_de/privacy/	/home/benjamin/websites/google/www.google.de/intl/de_de/privacy/index.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:04	84672/84672	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202018%2005:30:00%20GMT	http://www.google.de/intl/de_de/services/	/home/benjamin/websites/google/www.google.de/intl/de_de/services/index.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:02:04	1945/1945	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	https://www.google.de/images/branding/searchlogo/1x/googlelogo_desk_heirloom_color_150x55dp.gif	/home/benjamin/websites/google/www.google.de/images/branding/searchlogo/1x/googlelogo_desk_heirloom_color_150x55dp.gif	(from https://www.google.de/preferences?hl=de)
